label,avg_x,avg_y,com_x,com_y,major_minor,mass
6,52.05274452,352.7890784,52.04552733,352.7961989,1.496815287,17708
17,47.78181818,953.4545455,47.77918301,953.4408584,4.4,55
18,92.02929494,213.4170804,91.96975035,213.420852,0.670454545,2014
20,56.8627451,475.372549,56.86593089,475.3608317,2.2,51
38,134.9210526,436.2473684,134.9181384,436.2246084,1.894736842,380
40,167.5297139,438.1958914,167.5047872,438.1771498,1.75,1363
45,180.7982456,242.7368421,180.8023111,242.7363451,0.705882353,114
47,178.2439024,353.7682927,178.2482675,353.76617,1,82
48,180.4754098,273.4262295,180.4819416,273.4205684,1.222222222,61
50,197.238806,465.4179104,197.2410954,465.4141937,1.75,67
57,508.4890915,237.5395637,508.8359587,237.1716753,0.9375,3071
59,488.175,303.3666667,488.1357501,303.352328,0.529411765,120
65,523.9879931,728.3962264,523.9282686,728.3925646,0.551020408,583
67,521.6372549,689.7107843,521.6528663,689.7074125,0.875,204
73,653.8489434,770.8646594,654.5191993,770.9489033,1.510121457,39323
79,555.9279279,670.3783784,555.9275655,670.3839933,0.611111111,111
88,590.5697674,887.4854651,590.5598639,887.4674377,4.083333333,344
105,693.6254417,326.6183746,693.5355285,326.5581392,0.642857143,283
112,735.8780488,604.4512195,735.8774932,604.4876673,4.8,82
116,754.8965517,969.1527094,754.8864496,969.1703426,1.333333333,203
120,787.552795,316.8136646,787.5740322,316.8205898,0.558823529,322
134,932.0996562,799.8291371,932.2421514,799.9291077,2.305970149,18032
139,894.3813559,180.5508475,894.4050484,180.5669412,0.823529412,118
143,910.1037234,166.1648936,910.1100079,166.1705449,1.363636364,376
144,903.6451613,571.6612903,903.6460293,571.6642048,3,62
150,912.6607143,669.0714286,912.6660196,669.0797378,1.333333333,56
154,918.5234899,592.4966443,918.5283779,592.5191683,1.818181818,149
157,937.6047009,913.5320513,937.5663118,913.5666994,1.142857143,468
160,937.3065476,182.1785714,937.2952407,182.1419493,1.944444444,336
161,950.6029292,582.275834,950.6450795,582.2309487,2,1229
167,951.9736842,188.0921053,951.9829379,188.1207917,2.142857143,76
168,953.9318182,222.3409091,953.9317707,222.3326778,2.875,88
169,957.990991,287.3153153,957.9919341,287.3292726,1.25,111
170,959.3907285,205.7152318,959.3982003,205.7139498,1.5,151
175,963.2439024,308.3495935,963.2520142,308.3274616,1.7,123
177,973.5090909,329.6181818,973.5122497,329.6320835,2.6,55
178,977.7612613,363.3873874,977.7476573,363.3592668,2,222
